EventID,Year,Month,Day,Disaster_Type,Country,City_or_Region,Magnitude,Depth_km,Fatalities,Injuries,Estimated_Economic_Damage_USD,Source,Notes
1,1906,4,18,Earthquake,USA,"San Francisco",7.9,20,3000,Unknown,524000000,"Historical accounts","Historic event with major fire damage"
2,1960,5,22,Earthquake+Tsunami,Chile,"Valdivia",9.5,25,1655,3000,550000000,"EM-DAT","Largest instrumentally recorded earthquake"
3,1964,3,27,Earthquake+Tsunami,USA,"Alaska (Good Friday Quake)",9.2,25,131,160,"NOAA","Severe tsunami damage in coastal areas"
4,1976,7,28,Earthquake,China,"Tangshan",7.6,11,242000,164000,10000000000,"EM-DAT","One of the deadliest quakes of 20th century"
5,1985,9,19,Earthquake,Mexico,"Mexico City",8.0,20,10000,30000,4000000000,"EM-DAT","Severe building collapse across the city"
6,1989,10,17,Earthquake,USA,"Loma Prieta (California)",6.9,19,63,3757,6000000000,"USGS","Collapsed freeway and infrastructure damage"
7,1994,1,17,Earthquake,USA,"Northridge (California)",6.7,19,57,8700,20000000000,"EM-DAT","One of the costliest earthquakes in U.S."
8,1995,1,17,Earthquake,Japan,"Kobe",6.9,16,6437,40000,100000000000,"EM-DAT","Major urban destruction; port city impact"
9,1999,8,17,Earthquake,Turkey,"Izmit (Kocaeli)",7.6,17,17480,43953,6000000000,"EM-DAT","Widespread urban damage; thousands homeless"
10,2001,1,26,Earthquake,India,"Gujarat (Bhuj)",7.7,16,20005,167000,4800000000,"EM-DAT","Massive infrastructure and housing losses"
11,2003,12,26,Earthquake,Iran,"Bam",6.6,10,26796,30000,1000000000,"EM-DAT","Historic city heavily damaged"
12,2004,12,26,Earthquake+Tsunami,"Indonesia, Thailand, etc.","Sumatra–Andaman",9.1,30,227898,Unknown,14500000000,"Munich Re","Indian Ocean tsunami affecting multiple countries"
13,2005,10,8,Earthquake,Pakistan,"Kashmir",7.6,15,87351,138000,5200000000,"EM-DAT","Severe mountainous terrain damage"
14,2007,8,15,Earthquake,Peru,"Pisco",8.0,39,595,1500,2000000000,"EM-DAT","Coastal region destruction; partial tsunami"
15,2008,5,12,Earthquake,China,"Sichuan",7.9,19,87500,375000,150000000000,"EM-DAT","Massive landslides and structural collapse"
16,2009,9,29,Earthquake+Tsunami,Samoa,"Samoa Islands region",8.1,18,189,Unknown,200000000,"NOAA","Triggered tsunami in South Pacific"
17,2010,1,12,Earthquake,Haiti,"Port-au-Prince",7.0,13,222570,300000,8000000000,"EM-DAT","Extremely high mortality, infrastructure collapse"
18,2010,2,27,Earthquake+Tsunami,Chile,"Maule",8.8,35,525,12000,30000000000,"EM-DAT","Widespread damage; tsunami along coastline"
19,2011,3,11,Earthquake+Tsunami,Japan,"Tohoku",9.1,29,15894,6152,210000000000,"EM-DAT","Fukushima nuclear accident; massive tsunami"
20,2011,10,23,Earthquake,Turkey,"Van (Erciş)",7.2,10,604,4152,1400000000,"EM-DAT","Significant building collapse in eastern Turkey"
21,2012,8,11,Earthquake+Tsunami,Iran,"Tabriz region",6.4,10,306,3000,1000000000,"Various news","Twin quakes on same day"
22,2013,4,20,Earthquake,China,"Sichuan (Lushan)",6.6,12,196,14000,6000000000,"EM-DAT","Affected same region as 2008 but less severe"
23,2015,4,25,Earthquake,Nepal,"Gorkha (near Kathmandu)",7.8,15,8964,22000,5000000000,"EM-DAT","Triggered avalanches on Mount Everest"
24,2016,4,16,Earthquake,Ecuador,"Muisne (Manabí)",7.8,20,676,28000,3300000000,"EM-DAT","Coastal regions devastated"
25,2016,8,24,Earthquake,Italy,"Amatrice (Central Italy)",6.2,10,299,400,1500000000,"Various news","Historic towns destroyed"
26,2017,9,7,Earthquake,Mexico,"Chiapas",8.2,70,98,300,600000000,"EM-DAT","One of the strongest quakes in Mexico's history"
27,2017,9,19,Earthquake,Mexico,"Puebla/Morelos",7.1,50,370,6500,8000000000,"EM-DAT","Severe damage in Mexico City on quake anniversary"
28,2018,9,28,Earthquake+Tsunami,Indonesia,"Palu (Sulawesi)",7.5,10,4340,Unknown,1200000000,"BNPB (Indonesian Government)","Liquefaction & tsunami caused major devastation"
29,2019,7,4,Earthquake,USA,"Ridgecrest (California)",6.4,10,0,20,200000000,"USGS","Series of foreshocks & aftershocks, moderate damage"
30,2021,8,14,Earthquake,Haiti,"Nippes Region",7.2,2248,12200,1900000000,"EM-DAT","Severe damage in southwestern Haiti"
